Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Фахитас с мясом,7887,346,Мясо,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2029-01-28,2029-01-28,1.51,Backorder
2,Каша из дробленой ячменя,398,857,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2020-05-10,2020-05-10,3.53,Refunded
3,Окра,7724,403,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2022-01-01,2022-01-01,0.8,Refunded
4,Каша из дробленого кускуса,9237,341,Бакалея,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2018-05-06,2018-05-06,0.77,New
5,Fruko Schulz,2909,976,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2027-02-04,2027-02-04,3.29,Delivered
6,Балык,4010,283,Мясо,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2024-02-14,2024-02-14,4.22,Cancelled
7,Топинамбур,3935,124,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2003-04-06,2003-04-06,0.4,Temporarily Unavailable
8,Парфюм,8331,827,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2004-07-07,2004-07-07,2.49,Out of Stock
9,Пармезан,7079,208,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2020-01-13,2020-01-13,3.17,Available for Pickup
10,Мармелад,1813,126,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2016-05-07,2016-05-07,3.82,Sold
11,"Орехи (грецкий орех, миндаль, фундук)",1538,504,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2023-02-01,2023-02-01,3.98,Available for Pickup
12,Гель после бритья,5048,553,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2030-06-17,2030-06-17,1.06,Awaiting Payment
13,Выборгская,3785,800,Напитки,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2014-05-19,2014-05-19,3.82,Out of Stock
14,Куриные голени,8905,640,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2013-02-01,2013-02-01,4.38,Returned
15,Сухое мясо,9757,450,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2020-01-08,2020-01-08,4.16,Cancelled
16,Робот-пылесос,8275,581,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2021-05-18,2021-05-18,1.79,Sold
17,Зельц,1258,529,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2027-07-01,2027-07-01,1.78,Backorder
18,Увинская жемчужина,6580,24,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2020-01-03,2020-01-03,4.4,Out of Stock
19,Фейхоа,8002,414,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2010-10-01,2010-10-01,1.51,On Backorder
20,Каша из ржи,3451,282,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,2007-09-16,2007-09-16,3.14,On Backorder
21,Каша из дробленной пшеничной крупы,4279,824,Бакалея,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2011-01-05,2011-01-05,1.31,Out of Stock
22,Имбирь молотый,9208,648,Бакалея,Отличается гипоаллергенностью и безопасностью для большинства людей.,2020-09-04,2020-09-04,4.35,Delivered
23,Чабрец сушеный,8520,272,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2015-03-17,2015-03-17,1.79,Awaiting Payment
24,Салфетки сухие,1822,398,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2015-07-09,2015-07-09,4.48,Delivered
25,Капуста белокочанная,9917,694,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,2029-05-14,2029-05-14,1.17,Sold
26,Черника,4653,362,Фрукты,"Обладает мягким вкусом, который нравится многим потребителям.",2022-04-03,2022-04-03,4.33,Awaiting Review
27,Карбонад,6839,326,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2030-05-09,2030-05-09,3.91,Awaiting Review
28,Гауда,6480,965,Молочные продукты,Способствует нормализации обмена веществ в организме.,2019-03-24,2019-03-24,1.58,Awaiting Payment
29,Сухое молоко,661,837,Бакалея,Часто рекомендуется врачами-диетологами как часть здорового питания.,2006-11-04,2006-11-04,1.73,Refunded
30,Каша из киноа,4125,449,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2025-02-25,2025-02-25,2.74,In Stock
31,Смузи мангово-ананасовый,1877,174,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2021-06-01,2021-06-01,0.22,Out of Stock
32,Пакеты для микроволновки,2250,909,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2023-02-01,2023-02-01,0.07,Delivered
33,Петрушка корневая,3806,502,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-01-01,2016-01-01,0.78,Temporarily Unavailable
34,Марийская,7055,198,Напитки,Подходит для людей с чувствительным пищеварением.,2021-04-01,2021-04-01,4.23,Awaiting Payment
35,Гуляш,4736,172,Мясо,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2008-01-24,2008-01-24,2.23,In Stock
36,Куриные крылышки,8275,920,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2029-07-03,2029-07-03,1.64,On Backorder
37,Каша из поленты,1622,184,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2028-03-02,2028-03-02,3.99,New
38,Манго,4603,240,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2020-03-02,2020-03-02,1.48,On Backorder
39,Холодный чай с лимоном,7112,745,Напитки,Прошел все необходимые сертификации и соответствует международным стандартам.,2024-09-04,2024-09-04,2.76,Sold
40,Колбаса вареная,6822,413,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2027-01-08,2027-01-08,4.07,Pending
41,Открывалка для бутылок,992,943,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2013-02-12,2013-02-12,1.69,Returned
42,Кабачок,4535,370,Овощи,Отличается натуральным составом и отсутствием искусственных добавок.,2020-06-02,2020-06-02,4.4,Refunded
43,Черника,101,379,Фрукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1998-01-21,1998-01-21,0.88,Available for Pickup
44,Горох,6274,51,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2008-05-03,2008-05-03,2.77,Shipping
45,Щавель,7170,967,Овощи,Подходит для людей с чувствительным пищеварением.,2010-01-04,2010-01-04,0.17,Out of Stock
46,Персик,418,380,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2017-08-18,2017-08-18,4.57,Awaiting Review
