product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Молочный шоколад,660,863,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1994-04-03,2008-01-20,5.0,Shipping
2,Домашние колбасы,7804,305,Мясо,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1996-01-17,2020-02-06,1.11,Awaiting Review
3,Масло сливочное,2697,84,Молочные продукты,Является важным элементом спортивного питания для восстановления после тренировок.,2006-05-01,2029-01-02,0.62,On Backorder
4,Чоризо,3857,564,Мясо,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2017-02-02,2021-12-12,4.03,On Backorder
5,Шпинат,9239,689,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2017-05-06,2018-10-03,2.99,Temporarily Unavailable
6,Простокваша,8834,214,Молочные продукты,Представляет собой ценный источник питательных веществ для растущего организма.,1995-02-10,1999-02-04,0.42,Cancelled
7,Кабачок,9168,163,Овощи,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1994-07-18,2000-03-07,0.26,On Backorder
8,Каша из дробленой гречихи,9247,488,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2009-01-02,2018-08-04,1.18,On Backorder
9,Тэфф,2140,885,Бакалея,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2002-01-03,2027-01-08,3.97,Sold
10,Хамон,2333,194,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-05-09,2023-03-08,2.37,Shipping
11,Мацони,4736,443,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2022-03-21,2024-08-10,0.92,Sold
12,Тыква,7621,509,Овощи,Способствует улучшению работы пищеварительной системы.,2021-01-06,2026-01-01,1.27,Shipping
13,Самарская,5189,797,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2014-03-02,2026-01-02,0.67,Returned
